participant_id,miss_rate,max_consecutive_missing,mean_consecutive_missing,n_missing_episodes
P0087,0.43333333333333335,5,2.1666666666666665,12
P0088,0.08333333333333333,1,1.0,5
P0089,0.13333333333333333,2,1.6,5
P0090,0.2833333333333333,2,1.1333333333333333,15
P0091,0.4,7,1.6,15
P0092,0.15,3,1.5,6
P0093,0.36666666666666664,4,1.6923076923076923,13
P0094,0.11666666666666667,2,1.4,5
P0095,0.26666666666666666,2,1.2307692307692308,13
P0096,0.26666666666666666,3,1.1428571428571428,14
P0097,0.2,2,1.0909090909090908,11
P0098,0.23333333333333334,3,1.4,10
P0099,0.15,1,1.0,9
P0100,0.18333333333333332,2,1.5714285714285714,7
P0101,0.05,1,1.0,3
P0102,0.4166666666666667,3,1.5625,16
P0103,0.35,3,1.6153846153846154,13
P0104,0.23333333333333334,2,1.2727272727272727,11
P0105,0.08333333333333333,2,1.25,4
P0106,0.23333333333333334,2,1.4,10
P0107,0.35,3,1.3125,16
P0108,0.2,2,1.2,10
P0109,0.38333333333333336,4,1.7692307692307692,13
P0110,0.38333333333333336,5,1.6428571428571428,14
P0111,0.36666666666666664,5,1.6923076923076923,13
P0112,0.21666666666666667,4,1.3,10
P0113,0.5166666666666667,4,1.7222222222222223,18
P0114,0.5666666666666667,8,2.2666666666666666,15
P0115,0.5833333333333334,7,2.5,14
P0116,0.1,1,1.0,6
P0117,0.16666666666666666,4,1.4285714285714286,7
P0118,0.15,1,1.0,9
P0119,0.35,3,1.5,14
P0120,0.4166666666666667,4,1.6666666666666667,15
P0121,0.11666666666666667,1,1.0,7
P0122,0.13333333333333333,1,1.0,8
P0123,0.15,1,1.0,9
P0124,0.1,1,1.0,6
P0125,0.6,6,2.5714285714285716,14
P0126,0.2,2,1.2,10
P0127,0.2833333333333333,2,1.7,10
P0128,0.5666666666666667,13,2.8333333333333335,12
P0129,0.4,6,1.7142857142857142,14
P0130,0.15,2,1.5,6
P0131,0.26666666666666666,3,1.4545454545454546,11
P0132,0.4,4,1.5,16
P0133,0.5166666666666667,3,1.9375,16
P0134,0.35,4,1.4,15
P0135,0.06666666666666667,1,1.0,4
P0136,0.25,2,1.25,12
P0137,0.06666666666666667,2,1.3333333333333333,3
P0138,0.35,3,1.3125,16
P0139,0.48333333333333334,5,1.45,20
P0140,0.3333333333333333,3,1.4285714285714286,14
P0141,0.35,3,1.4,15
P0142,0.13333333333333333,2,1.1428571428571428,7
P0143,0.3,4,1.3846153846153846,13
P0144,0.13333333333333333,2,1.1428571428571428,7
P0145,0.18333333333333332,2,1.2222222222222223,9
P0146,0.21666666666666667,3,1.4444444444444444,9
P0147,0.4,7,2.0,12
P0148,0.3,3,1.3846153846153846,13
P0149,0.26666666666666666,2,1.2307692307692308,13
P0150,0.4,4,1.8461538461538463,13
P0151,0.26666666666666666,3,1.4545454545454546,11
P0152,0.25,2,1.6666666666666667,9
P0153,0.45,4,1.8,15
P0154,0.15,2,1.2857142857142858,7
P0155,0.15,2,1.125,8
P0156,0.43333333333333335,5,2.3636363636363638,11
P0157,0.35,3,1.2352941176470589,17
P0158,0.26666666666666666,2,1.2307692307692308,13
P0159,0.1,2,1.2,5
P0160,0.18333333333333332,2,1.2222222222222223,9
P0161,0.3333333333333333,3,1.4285714285714286,14
P0162,0.25,3,1.5,10
P0163,0.18333333333333332,2,1.2222222222222223,9
P0164,0.4166666666666667,6,2.0833333333333335,12
P0165,0.1,2,1.2,5
P0166,0.3,4,2.0,9
P0167,0.4,4,1.5,16
P0168,0.2,2,1.3333333333333333,9
P0169,0.55,5,2.0625,16
P0170,0.2833333333333333,3,1.3076923076923077,13
P0171,0.18333333333333332,1,1.0,11
P0172,0.18333333333333332,2,1.1,10
P0173,0.38333333333333336,4,1.5333333333333334,15
P0174,0.26666666666666666,2,1.1428571428571428,14
P0175,0.2833333333333333,4,1.7,10
P0176,0.2,2,1.0909090909090908,11
P0177,0.25,4,1.5,10
P0178,0.26666666666666666,2,1.6,10
P0179,0.3333333333333333,3,1.4285714285714286,14
P0180,0.23333333333333334,3,1.2727272727272727,11
P0181,0.4666666666666667,4,1.4736842105263157,19
P0182,0.35,4,1.75,12
P0183,0.26666666666666666,2,1.3333333333333333,12
P0184,0.16666666666666666,3,1.25,8
P0185,0.36666666666666664,6,1.6923076923076923,13
P0186,0.26666666666666666,2,1.1428571428571428,14
P0187,0.2,2,1.3333333333333333,9
P0188,0.25,3,1.5,10
P0189,0.45,3,1.4210526315789473,19
P0190,0.23333333333333334,1,1.0,14
P0191,0.16666666666666666,2,1.1111111111111112,9
P0192,0.26666666666666666,2,1.1428571428571428,14
P0193,0.15,2,1.125,8
P0194,0.18333333333333332,2,1.2222222222222223,9
P0195,0.5833333333333334,10,2.6923076923076925,13
P0196,0.31666666666666665,3,1.5833333333333333,12
P0197,0.35,5,1.6153846153846154,13
P0198,0.21666666666666667,2,1.1818181818181819,11
P0199,0.11666666666666667,2,1.1666666666666667,6
P0200,0.18333333333333332,2,1.1,10
P0201,0.25,4,1.6666666666666667,9
P0202,0.55,6,1.736842105263158,19
P0203,0.21666666666666667,3,1.4444444444444444,9
P0204,0.43333333333333335,4,1.625,16
P0205,0.18333333333333332,2,1.375,8
P0206,0.38333333333333336,6,1.6428571428571428,14
P0207,0.1,1,1.0,6
P0208,0.38333333333333336,3,1.7692307692307692,13
P0209,0.13333333333333333,1,1.0,8
P0210,0.06666666666666667,1,1.0,4
P0211,0.1,1,1.0,6
P0212,0.31666666666666665,3,1.4615384615384615,13
P0213,0.25,3,1.5,10
P0214,0.08333333333333333,2,1.25,4
P0215,0.36666666666666664,7,1.8333333333333333,12
P0216,0.3,3,1.3846153846153846,13
P0217,0.1,2,1.2,5
P0218,0.2,2,1.0909090909090908,11
P0219,0.26666666666666666,4,1.6,10
P0220,0.25,3,1.3636363636363635,11
P0221,0.15,2,1.125,8
P0222,0.15,2,1.125,8
P0223,0.1,1,1.0,6
P0224,0.16666666666666666,2,1.1111111111111112,9
P0225,0.11666666666666667,3,1.4,5
P0226,0.08333333333333333,2,1.25,4
P0227,0.06666666666666667,1,1.0,4
P0228,0.3,2,1.2,15
P0229,0.21666666666666667,2,1.0833333333333333,12
P0230,0.3333333333333333,4,1.3333333333333333,15
P0231,0.16666666666666666,4,1.4285714285714286,7
P0232,0.45,4,1.9285714285714286,14
P0233,0.18333333333333332,1,1.0,11
P0234,0.21666666666666667,2,1.3,10
P0235,0.35,4,1.9090909090909092,11
P0236,0.16666666666666666,2,1.1111111111111112,9
P0237,0.1,1,1.0,6
P0238,0.26666666666666666,2,1.2307692307692308,13
P0239,0.11666666666666667,1,1.0,7
P0240,0.65,8,2.4375,16
P0241,0.2,2,1.3333333333333333,9
P0242,0.23333333333333334,3,1.4,10
P0243,0.11666666666666667,2,1.4,5
P0244,0.05,2,1.5,2
P0245,0.25,2,1.1538461538461537,13
P0246,0.08333333333333333,1,1.0,5
P0247,0.2,3,1.5,8
P0248,0.16666666666666666,4,1.6666666666666667,6
P0249,0.2833333333333333,2,1.2142857142857142,14
P0250,0.21666666666666667,3,1.3,10
P0251,0.18333333333333332,2,1.1,10
P0252,0.1,1,1.0,6
P0253,0.2,2,1.0909090909090908,11
P0254,0.03333333333333333,1,1.0,2
P0255,0.06666666666666667,1,1.0,4
P0256,0.16666666666666666,3,1.4285714285714286,7
P0257,0.3333333333333333,3,1.6666666666666667,12
P0258,0.2,2,1.2,10
P0259,0.4,3,1.6,15
P0260,0.25,3,1.3636363636363635,11
P0261,0.18333333333333332,2,1.2222222222222223,9
P0262,0.26666666666666666,2,1.3333333333333333,12
P0263,0.18333333333333332,2,1.2222222222222223,9
P0264,0.43333333333333335,4,1.8571428571428572,14
P0265,0.35,3,1.5,14
P0266,0.2,2,1.0909090909090908,11
P0267,0.08333333333333333,1,1.0,5
P0268,0.016666666666666666,1,1.0,1
P0269,0.11666666666666667,1,1.0,7
P0270,0.15,2,1.125,8
P0271,0.31666666666666665,3,1.7272727272727273,11
P0272,0.35,3,1.9090909090909092,11
P0273,0.18333333333333332,2,1.2222222222222223,9
P0274,0.16666666666666666,2,1.1111111111111112,9
P0275,0.18333333333333332,3,1.375,8
P0276,0.08333333333333333,1,1.0,5
P0277,0.36666666666666664,2,1.375,16
P0278,0.3333333333333333,4,1.8181818181818181,11
P0279,0.16666666666666666,2,1.1111111111111112,9
P0280,0.35,3,1.75,12
P0281,0.18333333333333332,2,1.1,10
P0282,0.26666666666666666,2,1.0666666666666667,15
P0283,0.35,3,1.6153846153846154,13
P0284,0.18333333333333332,2,1.375,8
P0285,0.08333333333333333,1,1.0,5
P0286,0.11666666666666667,1,1.0,7
P0287,0.21666666666666667,2,1.1818181818181819,11
P0288,0.1,2,1.5,4
P0289,0.4166666666666667,3,1.6666666666666667,15
P0290,0.13333333333333333,2,1.1428571428571428,7
P0291,0.23333333333333334,2,1.2727272727272727,11
P0292,0.21666666666666667,1,1.0,13
P0293,0.35,3,1.4,15
P0294,0.13333333333333333,2,1.1428571428571428,7
P0295,0.2,3,1.7142857142857142,7
P0296,0.25,4,1.5,10
P0297,0.26666666666666666,3,1.3333333333333333,12
P0298,0.26666666666666666,2,1.1428571428571428,14
P0299,0.1,2,1.5,4
P0300,0.2833333333333333,3,1.3076923076923077,13
